        FINAL POST-CLEARING PRICES AS OF 06/16/17 10:33 PM (CST)
MTH/                 ---- DAILY ---                        PT                     -------  PRIOR  DAY  -------
STRIKE     OPEN      HIGH      LOW       LAST      SETT    CHGE  ACTUAL VOL       SETT         VOL         INT
1CE Chicago Ethanol (Platts) Calendar Spread Option -
JLY17      ----      ----      ----      ----     .0075  -.0025                  .0100
AUG17      ----      ----      ----      ----     .0100    UNCH                  .0100
SEP17      ----      ----      ----      ----     .0100    UNCH                  .0100
OCT17      ----      ----      ----      ----     .0175    UNCH                  .0175
NOV17      ----      ----      ----      ----     .0200    UNCH                  .0200
DEC17      ----      ----      ----      ----     .0200    UNCH                  .0200
JAN18      ----      ----      ----      ----    -.0025    UNCH                 -.0025
FEB18      ----      ----      ----      ----    -.0125    UNCH                 -.0125
MAR18      ----      ----      ----      ----    -.0150    UNCH                 -.0150
APR18      ----      ----      ----      ----    -.0050    UNCH                 -.0050
MAY18      ----      ----      ----      ----    -.0025    UNCH                 -.0025
2CE Chicago Ethanol (Platts) Calendar Spread Option -
JLY17      ----      ----      ----      ----     .0175  -.0025                  .0200
AUG17      ----      ----      ----      ----     .0200    UNCH                  .0200
SEP17      ----      ----      ----      ----     .0275    UNCH                  .0275
OCT17      ----      ----      ----      ----     .0375    UNCH                  .0375
NOV17      ----      ----      ----      ----     .0400    UNCH                  .0400
DEC17      ----      ----      ----      ----     .0175    UNCH                  .0175
JAN18      ----      ----      ----      ----    -.0150    UNCH                 -.0150
FEB18      ----      ----      ----      ----    -.0275    UNCH                 -.0275
MAR18      ----      ----      ----      ----    -.0200    UNCH                 -.0200
APR18      ----      ----      ----      ----    -.0075    UNCH                 -.0075
2RB RBOB TAM SYNTHETIC LONDON FUTURE
JLY17      ----      ----      ----      ----    1.4474  +.0083                 1.4391
AUG17      ----      ----      ----      ----    1.4430  +.0079                 1.4351
SEP17      ----      ----      ----      ----    1.4362  +.0071                 1.4291
3A WTI OIL CS12SYNTHT
JLY17      ----      ----      ----      ----     -2.39    +.01                  -2.40
AUG17      ----      ----      ----      ----     -2.27    +.02                  -2.29
SEP17      ----      ----      ----      ----     -2.14    +.02                  -2.16
OCT17      ----      ----      ----      ----     -2.03    UNCH                  -2.03
NOV17      ----      ----      ----      ----     -1.88    -.01                  -1.87
DEC17      ----      ----      ----      ----     -1.72    +.01                  -1.73
JAN18      ----      ----      ----      ----     -1.57    UNCH                  -1.57
FEB18      ----      ----      ----      ----     -1.43    UNCH                  -1.43
MAR18      ----      ----      ----      ----     -1.32    UNCH                  -1.32
APR18      ----      ----      ----      ----     -1.26    UNCH                  -1.26
MAY18      ----      ----      ----      ----     -1.21    +.01                  -1.22
JUN18      ----      ----      ----      ----     -1.18    +.02                  -1.20
JLY18      ----      ----      ----      ----     -1.12    +.04                  -1.16
AUG18      ----      ----      ----      ----     -1.08    +.05                  -1.13
DEC18      ----      ----      ----      ----     -1.10    +.07                  -1.17
DEC19      ----      ----      ----      ----     -1.18    +.11                  -1.29
DEC20      ----      ----      ----      ----     -1.34    +.03                  -1.37
3CE Chicago Ethanol (Platts) Calendar Spread Option -
JLY17      ----      ----      ----      ----     .0275  -.0025                  .0300
AUG17      ----      ----      ----      ----     .0375    UNCH                  .0375
SEP17      ----      ----      ----      ----     .0475    UNCH                  .0475
OCT17      ----      ----      ----      ----     .0575    UNCH                  .0575
NOV17      ----      ----      ----      ----     .0375    UNCH                  .0375
DEC17      ----      ----      ----      ----     .0050    UNCH                  .0050
JAN18      ----      ----      ----      ----    -.0300    UNCH                 -.0300
FEB18      ----      ----      ----      ----    -.0325    UNCH                 -.0325
MAR18      ----      ----      ----      ----    -.0225    UNCH                 -.0225
4A WTI OIL CS6 SYNTHT
DEC17      ----      ----      ----      ----     -1.07    +.01                  -1.08
JUN18      ----      ----      ----      ----      -.65    UNCH                   -.65
DEC18      ----      ----      ----      ----      -.53    +.02                   -.55
JUN19      ----      ----      ----      ----      -.57    +.05                   -.62
DEC19      ----      ----      ----      ----      -.54    +.05                   -.59
JUN20      ----      ----      ----      ----      -.64    +.06                   -.70
DEC20      ----      ----      ----      ----      -.63    +.01                   -.64
JUN21      ----      ----      ----      ----      -.71    +.02                   -.73
DEC21      ----      ----      ----      ----      -.55    UNCH                   -.55
JUN22      ----      ----      ----      ----      -.60    UNCH                   -.60
DEC22      ----      ----      ----      ----      -.50    UNCH                   -.50
JUN23      ----      ----      ----      ----      -.51    UNCH                   -.51
4RB RBOB 3:15 2 MINUTE TAM SYNTHETIC LONDON FUTURE
JLY17      ----      ----      ----      ----    1.4545  +.0164                 1.4381
5A WTI OIL CS3 SYNTHT
JLY17      ----      ----      ----      ----      -.67    +.01                   -.68
AUG17      ----      ----      ----      ----      -.70    +.03                   -.73
6A WTI OIL CS2 SYNTHT
JLY17      ----      ----      ----      ----      -.46    -.01                   -.45
AUG17      ----      ----      ----      ----      -.44    +.02                   -.46
SEP17      ----      ----      ----      ----      -.47    +.03                   -.50
6CE Chicago Ethanol (Platts) Calendar Spread Option -
JLY17      ----      ----      ----      ----     .0850  -.0025                  .0875
AUG17      ----      ----      ----      ----     .0750    UNCH                  .0750
SEP17      ----      ----      ----      ----     .0525    UNCH                  .0525
OCT17      ----      ----      ----      ----     .0275    UNCH                  .0275
NOV17      ----      ----      ----      ----     .0050    UNCH                  .0050
DEC17      ----      ----      ----      ----    -.0175    UNCH                 -.0175
6T In Delivery Month European Union Allowance (EUA) F
JUN17      ----      ----      ----      ----    4.8700  -.0800                 4.9500
SEP17      ----      ----      ----      ----    4.8800  -.0800                 4.9600
