W Wheat Futures
MAY19     463'6     464'6     452'4     459'2     457'6    -6'6       69561      464'4       49566      221638
JLY19     469'4     471'4     459'0     464'6     463'4    -7'0       38552      470'4       21698      133598
SEP19     478'2     478'6     467'2     480'0     471'0    -7'6       14724      478'6        6586       57223
DEC19     492'6     493'2     482'4     486'0     484'6    -8'4        9262      493'2        4178       61962
MAR20     503'2     505'2B    496'2A    498'6     497'6    -8'4        1450      506'2         805        9779
MAY20     509'0     511'0B    503'0A    503'4     503'6    -8'4         363      512'2          78        3254
JLY20     510'4     512'4B    504'6     506'6B    505'4    -8'4         261      514'0          34        4835
SEP20     516'0     516'0     515'0     515'0     512'4    -8'0          60      520'4                     367
DEC20      ----      ----     523'6A    525'2A    523'4    -8'2           6      531'6           9        1416
MAR21      ----      ----      ----      ----     532'2    -8'2                  540'4           5         324
MAY21      ----      ----      ----      ----     537'2    -8'2                  545'4                      23
JLY21      ----      ----      ----      ----     537'0    -8'2                  545'2                       8

WDF MAY19 Short-Dated New Crop Wheat Option CALL
3300       ----      ----      ----      ----     133'4    -7'0                  140'4
3350       ----      ----      ----      ----     128'4    -7'0                  135'4
3400       ----      ----      ----      ----     123'4    -7'0                  130'4
3450       ----      ----      ----      ----     118'4    -7'0                  125'4
3500       ----      ----      ----      ----     113'4    -7'0                  120'4
3550       ----      ----      ----      ----     108'4    -7'0                  115'4
3600       ----      ----      ----      ----     103'4    -7'0                  110'4
3650       ----      ----      ----      ----      98'4    -7'0                  105'4
3700       ----      ----      ----      ----      93'4    -7'0                  100'4
3750       ----      ----      ----      ----      88'4    -7'0                   95'4
3800       ----      ----      ----      ----      83'4    -7'0                   90'4
3850       ----      ----      ----      ----      78'4    -7'0                   85'4
3900       ----      ----      ----      ----      73'4    -7'0                   80'4
3950       ----      ----      ----      ----      68'5    -6'7                   75'4
4000       ----      ----      ----      ----      63'5    -6'7                   70'4
4050       ----      ----      ----      ----      58'5    -7'0                   65'5
4100       ----      ----      ----      ----      53'5    -7'0                   60'5
4150       ----      ----      ----      ----      48'5    -7'0                   55'5
4200       ----      ----      ----      ----      43'6    -7'0                   50'6
4250       ----      ----      ----      ----      38'7    -7'0                   45'7
4300       ----      ----      ----      ----      34'1    -7'0                   41'1
4350       ----      ----      ----      ----      29'5    -7'0                   36'5
4400       ----      ----      ----      ----      25'2    -6'7                   32'1
4450       ----      ----      ----      ----      21'1    -6'6                   27'7
4500       ----      ----      ----      ----      17'3    -6'5                   24'0
4550       ----      ----      ----      ----      14'1    -6'1                   20'2
4600       ----      ----      ----      ----      11'3    -5'5                   17'0
4650       ----      ----       9'3A     ----       9'0    -5'0                   14'0
4700       ----      ----       7'6A     ----       7'0    -4'3                   11'3
4750       ----      ----       6'4A     ----       5'4    -3'6                    9'2                       1
4800       ----      ----       5'4A     ----       4'2    -3'1                    7'3                       1
4850       ----      ----       5'0A     ----       3'1    -2'5                    5'6
4900       ----      ----      ----      ----       2'3    -2'2                    4'5                      20
4950       ----      ----      ----      ----       1'6    -1'7                    3'5
5000       ----      ----      ----      ----       1'3    -1'4                    2'7
5050       ----      ----      ----      ----       1'0    -1'3                    2'3
5100       ----      ----      ----      ----        '6    -1'1                    1'7
5150       ----      ----      ----      ----        '5     -'7                    1'4
