W Wheat Futures
MAY19     468'4     469'2     459'4     463'6     464'4    -5'0       47846      469'4       61160      224347
JLY19     474'0     474'4     465'2     469'2     470'4    -4'4       20357      475'0       27825      131288
SEP19     482'4     482'6     473'4A    477'6B    478'6    -4'4        6323      483'2        8428       56878
DEC19     496'2     496'6     488'0     492'2A    493'2    -4'2        4178      497'4        4947       62580
MAR20     509'2     509'2     500'4A    505'6A    506'2    -3'4         735      509'6         809        9850
MAY20     513'4     513'4     506'6     511'6A    512'2    -3'2          78      515'4          99        3258
JLY20     511'6     514'4     508'6A    513'4A    514'0    -3'6          34      517'6         107        4829
SEP20      ----      ----      ----      ----     520'4    -3'6                  524'2                     367
DEC20     526'4     531'0B    526'4     531'0B    531'6    -3'4           9      535'2           4        1417
MAR21      ----      ----      ----      ----     540'4    -3'2           5      543'6           2         319
MAY21      ----      ----      ----      ----     545'4    -3'2                  548'6                      23
JLY21      ----      ----      ----      ----     545'2    -3'2                  548'4                       8

WDF MAY19 Short-Dated New Crop Wheat Option CALL
3300       ----      ----      ----      ----     140'4    -4'4                  145'0
3350       ----      ----      ----      ----     135'4    -4'4                  140'0
3400       ----      ----      ----      ----     130'4    -4'4                  135'0
3450       ----      ----      ----      ----     125'4    -4'4                  130'0
3500       ----      ----      ----      ----     120'4    -4'4                  125'0
3550       ----      ----      ----      ----     115'4    -4'4                  120'0
3600       ----      ----      ----      ----     110'4    -4'4                  115'0
3650       ----      ----      ----      ----     105'4    -4'4                  110'0
3700       ----      ----      ----      ----     100'4    -4'4                  105'0
3750       ----      ----      ----      ----      95'4    -4'4                  100'0
3800       ----      ----      ----      ----      90'4    -4'4                   95'0
3850       ----      ----      ----      ----      85'4    -4'4                   90'0
3900       ----      ----      ----      ----      80'4    -4'4                   85'0
3950       ----      ----      ----      ----      75'4    -4'4                   80'0
4000       ----      ----      ----      ----      70'4    -4'4                   75'0
4050       ----      ----      ----      ----      65'5    -4'3                   70'0
4100       ----      ----      ----      ----      60'5    -4'3                   65'0
4150       ----      ----      ----      ----      55'5    -4'4                   60'1
4200       ----      ----      ----      ----      50'6    -4'3                   55'1
4250       ----      ----      ----      ----      45'7    -4'3                   50'2
4300       ----      ----      ----      ----      41'1    -4'3                   45'4
4350       ----      ----      ----      ----      36'5    -4'1                   40'6
4400       ----      ----      ----      ----      32'1    -4'0                   36'1
4450       ----      ----      ----      ----      27'7    -3'6                   31'5
4500       ----      ----      ----      ----      24'0    -3'4                   27'4
4550       ----      ----      ----      ----      20'2    -3'2                   23'4
4600       ----      ----      ----      ----      17'0    -3'0                   20'0
4650       ----      ----      ----      ----      14'0    -2'6                   16'6
4700       ----      ----      11'4A     ----      11'3    -2'4                   13'7
4750       ----      ----       9'6A     ----       9'2    -2'2                   11'4           1           1
4800       ----      ----       7'5A     ----       7'3    -2'0                    9'3           1           1
4850       ----      ----       6'4A     ----       5'6    -1'7                    7'5
4900       ----      ----       5'7A     ----       4'5    -1'4                    6'1                      20
4950       ----      ----      ----      ----       3'5    -1'3                    5'0
5000       ----      ----       3'5A     ----       2'7    -1'1                    4'0
5050       ----      ----      ----      ----       2'3     -'6                    3'1
5100       ----      ----      ----      ----       1'7     -'5                    2'4
5150       ----      ----      ----      ----       1'4     -'4                    2'0
5200       ----      ----      ----      ----       1'1     -'4                    1'5
5250       ----      ----      ----      ----        '7     -'3                    1'2
5300       ----      ----      ----      ----        '6     -'2                    1'0
5350       ----      ----      ----      ----        '5     -'1                     '6
5400       ----      ----      ----      ----        '4     -'1                     '5
5450       ----      ----      ----      ----        '3     -'1                     '4
5500       ----      ----      ----      ----        '2     -'1                     '3
5550       ----      ----      ----      ----        '2    UNCH                     '2
5600       ----      ----      ----      ----        '1     -'1                     '2
5650       ----      ----      ----      ----        '1     -'1                     '2
5700       ----      ----      ----      ----        '1    UNCH                     '1
5750       ----      ----      ----      ----        '1    UNCH                     '1
5800       ----      ----      ----      ----        '1    UNCH                     '1                       2
5850       ----      ----      ----      ----        '1    UNCH                     '1
5900       ----      ----      ----      ----        '1    UNCH                     '1
5950       ----      ----      ----      ----        '1    UNCH                     '1
