        FINAL POST-CLEARING PRICES AS OF 02/16/17 10:33 PM (CST)
MTH/                 ---- DAILY ---                        PT                     -------  PRIOR  DAY  -------
STRIKE     OPEN      HIGH      LOW       LAST      SETT    CHGE  ACTUAL VOL       SETT         VOL         INT
1CE Chicago Ethanol (Platts) Calendar Spread Option -
MAR17      ----      ----      ----      ----    -.0200  +.0025                 -.0225
APR17      ----      ----      ----      ----    -.0075    UNCH                 -.0075
MAY17      ----      ----      ----      ----     .0025    UNCH                  .0025
JUN17      ----      ----      ----      ----     .0050    UNCH                  .0050
JLY17      ----      ----      ----      ----     .0050    UNCH                  .0050
AUG17      ----      ----      ----      ----     .0050    UNCH                  .0050
SEP17      ----      ----      ----      ----     .0150    UNCH                  .0150
OCT17      ----      ----      ----      ----     .0175    UNCH                  .0175
NOV17      ----      ----      ----      ----     .0175    UNCH                  .0175
DEC17      ----      ----      ----      ----     .0175    UNCH                  .0175
JAN18      ----      ----      ----      ----     .0000    UNCH                  .0000
FEB18      ----      ----      ----      ----     .0000    UNCH                  .0000
2CE Chicago Ethanol (Platts) Calendar Spread Option -
MAR17      ----      ----      ----      ----    -.0275  +.0025                 -.0300
APR17      ----      ----      ----      ----    -.0050    UNCH                 -.0050
MAY17      ----      ----      ----      ----     .0075    UNCH                  .0075
JUN17      ----      ----      ----      ----     .0100    UNCH                  .0100
JLY17      ----      ----      ----      ----     .0100    UNCH                  .0100
AUG17      ----      ----      ----      ----     .0200    UNCH                  .0200
SEP17      ----      ----      ----      ----     .0325    UNCH                  .0325
OCT17      ----      ----      ----      ----     .0350    UNCH                  .0350
NOV17      ----      ----      ----      ----     .0350    UNCH                  .0350
DEC17      ----      ----      ----      ----     .0175    UNCH                  .0175
2RB RBOB TAM SYNTHETIC LONDON FUTURE
MAR17      ----      ----      ----      ----    1.5211  -.0219                 1.5430
APR17      ----      ----      ----      ----    1.7410  -.0202                 1.7612
MAY17      ----      ----      ----      ----    1.7618  -.0185                 1.7803
3A WTI OIL CS12SYNTHT
MAR17      ----      ----      ----      ----     -1.48    +.47                  -1.95
APR17      ----      ----      ----      ----     -1.07    +.37                  -1.44
MAY17      ----      ----      ----      ----      -.72    +.30                  -1.02
JUN17      ----      ----      ----      ----      -.43    +.24                   -.67
JLY17      ----      ----      ----      ----      -.18    +.17                   -.35
AUG17      ----      ----      ----      ----       .00    +.12                   -.12
SEP17      ----      ----      ----      ----       .12    +.08                    .04
OCT17      ----      ----      ----      ----       .20    +.05                    .15
NOV17      ----      ----      ----      ----       .26    +.03                    .23
DEC17      ----      ----      ----      ----       .30    +.01                    .29
JAN18      ----      ----      ----      ----       .38    +.01                    .37
FEB18      ----      ----      ----      ----       .45    +.02                    .43
MAR18      ----      ----      ----      ----       .50    +.02                    .48
DEC18      ----      ----      ----      ----       .34    +.01                    .33
DEC19      ----      ----      ----      ----       .09    UNCH                    .09
DEC20      ----      ----      ----      ----      -.40    -.06                   -.34
3CE Chicago Ethanol (Platts) Calendar Spread Option -
MAR17      ----      ----      ----      ----    -.0250  +.0025                 -.0275
APR17      ----      ----      ----      ----     .0000    UNCH                  .0000
MAY17      ----      ----      ----      ----     .0125    UNCH                  .0125
JUN17      ----      ----      ----      ----     .0150    UNCH                  .0150
JLY17      ----      ----      ----      ----     .0250    UNCH                  .0250
AUG17      ----      ----      ----      ----     .0375    UNCH                  .0375
SEP17      ----      ----      ----      ----     .0500    UNCH                  .0500
OCT17      ----      ----      ----      ----     .0525    UNCH                  .0525
NOV17      ----      ----      ----      ----     .0350    UNCH                  .0350
4A WTI OIL CS6 SYNTHT
JUN17      ----      ----      ----      ----      -.51    +.24                   -.75
DEC17      ----      ----      ----      ----       .08    UNCH                    .08
JUN18      ----      ----      ----      ----       .22    +.01                    .21
DEC18      ----      ----      ----      ----       .29    +.01                    .28
JUN19      ----      ----      ----      ----       .05    UNCH                    .05
DEC19      ----      ----      ----      ----       .10    UNCH                    .10
JUN20      ----      ----      ----      ----      -.01    UNCH                   -.01
